"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 長照支付審查－服務記錄申報邏輯模型對應"
"LTCFeeApplyModel","LTCFeeApplyModel","","","",0,*,"","","","null {[]} {[]}
","長照支付審查－服務記錄申報邏輯模型","此邏輯模型以衛生福利部「支付審核系統 API 規格說明書（照管平台）v2.2.1」之「服務記錄申報 (FeeApply)」傳送資料為基礎，完整描述服務提供單位向支付審核系統申報個案服務紀錄時所需的資料結構與欄位準備指引。每個交易序號每次申報最多 5000 筆個案服務紀錄；每筆服務記錄具唯一的識別碼 (objid)，識別碼不存在時新增服務紀錄，已存在時更新服務紀錄。欄位之必填規則除傳送資料表所標示者外，另依規格書「表1: 支付碼必填欄位一覽表」隨照顧組合代碼 (govItemCd) 而異，屬條件必填，故於本模型中一律以 0..1 表示並於定義中說明條件。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LTCFeeApplyModel.applyInfo.caseSvcRecords.addr2","LTCFeeApplyModel.applyInfo.caseSvcRecords.addr2","","","",0,1,"","","","string {[]} {[]}
","目的地","交通接送之目的地地址或地點名稱，字串長度 40。表1 條件必填：申報 BD03、DA01 填寫，依 v2.2.1 規定（適用 113 年 6 月 1 日後服務紀錄），目的地 (addr2)、目的地-緯度 (addrlat2)、目的地-經度 (addrlng2) 需至少填寫一個欄位；已填寫目的地者可不必再填寫目的地經緯度。其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.addr2",0,1,"","","Claim.supportingInfo.where(category.coding.code='addrTo').valueReference"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlat1","LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlat1","","","",0,1,"","","","decimal {[]} {[]}
","出發地-緯度","交通接送出發地之緯度，數值型態。表1 條件必填：申報 BD03、DA01 填寫，依 v2.2.1 規定，出發地-緯度與出發地-經度同時填寫時，可不必再填寫出發地 (addr1)。其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlat1",0,1,"","","Claim.supportingInfo.where(category.coding.code='addrFrom').valueReference"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlng1","LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlng1","","","",0,1,"","","","decimal {[]} {[]}
","出發地-經度","交通接送出發地之經度，數值型態。表1 條件必填：申報 BD03、DA01 填寫，依 v2.2.1 規定，出發地-緯度與出發地-經度同時填寫時，可不必再填寫出發地 (addr1)。其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlng1",0,1,"","","Claim.supportingInfo.where(category.coding.code='addrFrom').valueReference"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlat2","LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlat2","","","",0,1,"","","","decimal {[]} {[]}
","目的地-緯度","交通接送目的地之緯度，數值型態。表1 條件必填：申報 BD03、DA01 填寫，依 v2.2.1 規定，目的地-緯度與目的地-經度同時填寫時，可不必再填寫目的地 (addr2)。其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlat2",0,1,"","","Claim.supportingInfo.where(category.coding.code='addrTo').valueReference"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlng2","LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlng2","","","",0,1,"","","","decimal {[]} {[]}
","目的地-經度","交通接送目的地之經度，數值型態。表1 條件必填：申報 BD03、DA01 填寫，依 v2.2.1 規定，目的地-緯度與目的地-經度同時填寫時，可不必再填寫目的地 (addr2)。其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.addrlng2",0,1,"","","Claim.supportingInfo.where(category.coding.code='addrTo').valueReference"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.milage","LTCFeeApplyModel.applyInfo.caseSvcRecords.milage","","","",0,1,"","","","decimal {[]} {[]}
","里程數","交通接送之行駛里程數，數值型態。表1 條件必填：申報 BD03、DA01 為必填（v2.2.1 起調整為必填欄位，適用 113 年 6 月 1 日後服務紀錄）；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.milage",0,1,"","","Claim.supportingInfo.where(category.coding.code='milage').valueQuantity"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.carNo","LTCFeeApplyModel.applyInfo.caseSvcRecords.carNo","","","",0,1,"","","","string {[]} {[]}
","車號","交通接送使用車輛之車牌號碼，字串長度 10。表1 條件必填：申報 BD03、DA01 為必填（v2.2.1 起調整為必填欄位，適用 113 年 6 月 1 日後服務紀錄）；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.carNo",0,1,"","","Claim.supportingInfo.where(category.coding.code='carNo').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.driver","LTCFeeApplyModel.applyInfo.caseSvcRecords.driver","","","",0,1,"","","","string {[]} {[]}
","駕駛員","交通接送之駕駛員姓名，字串長度 20。表1 條件必填：申報 BD03、DA01 為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.driver",0,1,"","","Claim.supportingInfo.where(category.coding.code='driver').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.bd03Type","LTCFeeApplyModel.applyInfo.caseSvcRecords.bd03Type","","","",0,1,"","","","code {[]} {[]}
","社區式服務交通接送(BD03)服務使用類型","社區式服務交通接送之服務使用類型，字串長度 1；1.社區式長照機構、2.社區服務據點（不含身障類）、3.輔具中心、4.身障日間照顧服務，預設為 1。表1 條件必填：申報 BD03 為必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.bd03Type",0,1,"","","Claim.supportingInfo.where(category.coding.code='bd03Type').code"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.lastSvc","LTCFeeApplyModel.applyInfo.caseSvcRecords.lastSvc","","","",0,1,"","","","code {[]} {[]}
","臨終日照顧","是否為臨終日照顧，字串長度 1；Y:是、N:否，預設為 N。表1 中為非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.lastSvc",0,1,"","","Claim.supportingInfo.where(category.coding.code='lastSvc').valueBoolean"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.missedVisit","LTCFeeApplyModel.applyInfo.caseSvcRecords.missedVisit","","","",0,1,"","","","code {[]} {[]}
","訪視/服務未遇","本次訪視或服務是否未遇個案，字串長度 1；Y.未遇、N.正常，預設為 N。表1 中預設為 N。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.missedVisit",0,1,"","","Claim.supportingInfo.where(category.coding.code='missedVisit').valueBoolean"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.applyCovid19","LTCFeeApplyModel.applyInfo.caseSvcRecords.applyCovid19","","","",0,1,"","","","code {[]} {[]}
","是否為陪同施打COVID-19疫苗","本次服務是否為陪同施打 COVID-19 疫苗，字串長度 1；Y.陪同、N.未陪同，預設為 N。表1 條件必填：僅開放 BA13、BA13a 申報（B 碼）且為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.applyCovid19",0,1,"","","Claim.supportingInfo.where(category.coding.code='applyCovid19').valueBoolean"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.applyAa03","LTCFeeApplyModel.applyInfo.caseSvcRecords.applyAa03","","","",0,1,"","","","code {[]} {[]}
","是否申報AA03","是否一併申報 AA03（專業服務），字串長度 20；Y:是、N:否，預設為 N。表1 中為非必填欄位，預設為 N。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.applyAa03",0,1,"","","Claim.supportingInfo.where(category.coding.code='applyAA03').valueBoolean"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.applyAa09","LTCFeeApplyModel.applyInfo.caseSvcRecords.applyAa09","","","",0,1,"","","","code {[]} {[]}
","是否申報AA09","是否一併申報 AA09，字串長度 20；Y:是、N:否，預設為 Y。表1 中預設為 Y。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.applyAa09",0,1,"","","Claim.supportingInfo.where(category.coding.code='applyAA09').valueBoolean"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.aa10Status","LTCFeeApplyModel.applyInfo.caseSvcRecords.aa10Status","","","",0,1,"","","","code {[]} {[]}
","AA10申報狀態","AA10 之申報狀態，字串長度 1；0.未申報、1.申請待確認、2.確認為非緊急服務、3.確認為緊急服務，預設為 0。表1 中預設為 0。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.aa10Status",0,1,"","","Claim.supportingInfo.where(category.coding.code='aa10Status').code"
